type,link_web,modelo,anio,precio,version,color,combustible,puertas,transmision,motor,tipo de carroceria
0km,https://auto.mercadolibre.com.ar/MLA-1377769184-jeep-compass-sport-13-t270-2023-okm-_JM#position=36&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Jeep Compass 1.3 T270 Sport,2022,21.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1363343219-peugeot-208-feline-16-tiptronic-automatico-2023-okm-nuevo-_JM#position=37&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6 Feline Tiptronic,2022,14.095.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1378957332-fiat-cronos-presicion-at6-18-okm-_JM#position=38&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Fiat Cronos 1.8 16v Precision At6,2022,10.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1467866696-fiat-cronos-drive-13-2023-okm-_JM#position=39&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Fiat Cronos 1.3 Gse Drive,2022,7.636.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1382398363-toyota-etios-xls-pack-at-okm-_JM#position=40&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Toyota Etios 1.5 Xls At,2023,100.000.000,1.5 Xls At,Plateado,Nafta,5,Automática,1.5,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1428389632-jeep-compass-longitude-t270-13-2023-okm-_JM#position=41&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Jeep Compass 1.3 T270 Longitude Plus At6,2023,18.300.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1382611059-jeep-renegade-18-sport-at-l22-ano-2023-okm-_JM#position=42&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Jeep Renegade 1.8 Sport At Plus,2023,22.300,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1443587880-renault-alaskan-intens-23-dci-190-4wd-at-okm-nueva-_JM#position=43&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Renault Alaskan 2.3 Bit 16v Intens Mt 4x4,2023,13.974.779,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1428390156-peugeot-partner-confort-16-vtihdi-okm-2023-_JM#position=44&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot Partner 1.6 Furgon Confort,2023,9.500.000,1.6 Furgon Confort,Blanco,Nafta,3,Manual,1.6,Furgón
0km,https://auto.mercadolibre.com.ar/MLA-1363486013-fiat-cronos-drive-13-pack-conectividad-manual-okm-2023-_JM#position=45&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Fiat Cronos 1.3 Drive S-design Mt,2023,8.700.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1142851810-peugeot-208-feline-16-tiptronic-okm-walter-okm-_JM#position=46&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6l Feline Tiptronic,2021,14.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1363552199-peugeot-208-like-pack-16-2023-okm-linea-nueva-manual-_JM#position=47&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6 Like Pack,2022,9.700.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1428403820-peugeot-208-style-am24-16-manual-okm-2023-automatico-_JM#position=48&search_layout=grid&type=item&tracking_id=aebd71b0-cd7c-465d-89d8-aa3bc8b62a93,Peugeot 208 1.6l Style,2023,7.940.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1275755579-peugeot-expert-hdi-okm-2023-walter-_JM#position=1&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Peugeot Expert 1.6 Hdi Premium,2022,9.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1363526999-peugeot-208-active-automatico-tiptronic-16-okm-2023-nuevo-_JM#position=2&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Peugeot 208 1.6l Active Tiptronic,2022,10.300.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1144618385-peugeot-208-new-like-12-okm-walter-_JM#position=3&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Peugeot 208 1.6 Like Pack,2021,8.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1255316815-peugeot-208-allure-pack-okm-walter-_JM#position=4&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Peugeot 208 1.6 Allure,2022,7.200.000,1.6 Allure,Blanco,Nafta,5,Manual,1.6,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1376595361-toyota-etios-2023-15-sedan-xls-okm-entrega-inmediata-_JM#position=5&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Toyota Etios 1.5 Sedan Xls,2023,7.700.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376619323-toyota-hilux-2023-okm-24-cd-dx-150cv-4x4-entrega-inmediata-_JM#position=6&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Toyota Hilux 2.4 Cd Dx 150cv 4x4,2023,15.600.000,2.4 Cd Dx 150cv 4x4,Gris,Eléctrico,4,Manual,2.4,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1416256874-kangoo-stepway-2023-okm-_JM#position=7&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Renault Kangoo 1.6 Sce Stepway,2023,14.400.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1483004250-bmw-x1-20i-xdrive-okm-ano-2023-audi-q3-ni-audi-q5-gla-250-_JM#position=8&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw X1 X1 20i Linea Nueva 2024 - 4x4,2023,90.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1382411033-jeep-renegade-sport-manual-2023-okm-_JM#position=9&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Jeep Renegade 1.8 Sport,2023,100.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1378566045-bmw-x3-okm-bmw-x3-hibrida-enchufable-linea-2023-audi-q5-_JM#position=10&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw X3 X3 Hibrida Enchufable 292 Cv,2023,128.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1448278774-chevrolet-montana-premier-12-turbo-at-okmmm7-_JM#position=11&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Chevrolet Montana Premier,2023,13.898.955,PREMIER,Plateado,Nafta,4,Automática,1.2 TURBO,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1376178985-bmw-m240-bmw-240-bmw-240i-okm-2023-no-a35-ni-a45-ni-s3-_JM#position=12&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 2 Bmw M240 Bmw 240 Bmw 240i Okm 2023 -,2023,118.500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1440847104-bmw-m340i-bmw-340-bmw-340i-okm-2023-mercedes-c300-_JM#position=13&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 3 Bmw 340 - Bmw M340 - Bmw M340i Okm - 387 Cv,2023,95.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1375154225-bmw-m240i-bmw-240-bmw-240i-okm-no-a35-ni-a45-ni-s3-_JM#position=14&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 2 M240i Linea Nueva 2023 - Bmw 240i 2023,2023,109.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1375176971-bmw-430i-okm-coupe-sport-linea-nueva-2023-okm-bmw-430-_JM#position=15&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 4 430i Coupé Linea Nueva 2023,2023,90.000,430i coupé Linea nueva 2023,Gris,Nafta,3,Automática,Turbo de 258 CV,Coupé
0km,https://auto.mercadolibre.com.ar/MLA-1432377114-ford-maverick-lariat-hibrida-25l-4x2-at-2023-okm-_JM#position=16&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Ford Maverick Hibrida 2.5,2023,19.700.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1415611690-bmw-x2-20i-okm-2023-bmw-x2-20-no-bmw-x1-ni-gla-200-ni-q3-_JM#position=17&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw X2 X2 20i Versión 2023,2023,78.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1367385455-bmw-m240-bmw-240-bmw-240i-okm-2023-no-a35-ni-a45-ni-s3-_JM#position=18&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 2 M240i Okm Linea Nueva 2023,2023,109.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1366479981-bmw-m240i-okm-bmw-240i-bmw-240-no-audi-s3-ni-a35-ni-a45-_JM#position=19&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 2 M240i Linea 2023 - Tracción Integral 387 Cv,2023,109.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1381938542-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=20&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 1 Bmw M135i M X Tracción Integral - Okm 2023,2023,85.000,BMW M135i M X tracción integral - Okm 2023,Azul,Nafta,5,Automática,306 cv - Tracción integral -,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1363265651-bmw-m240i-bmw-240-bmw-240i-okm-no-a35-ni-a45-ni-s3-_JM#position=21&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 2 M240i Linea Nueva 2023 - 387 Cv Tracción Integral,2023,118.500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1379247353-fiat-cronos-mt5-pack-plus-tu-okm-financiado-por-cupo-men-_JM#position=22&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Fiat Cronos 1.3 Conectividad,2023,1.700.000,1.3 CONECTIVIDAD,Gris,Nafta,5,Manual,1.3,Sedán
0km,https://auto.mercadolibre.com.ar/MLA-1146581828-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=23&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 1 Bmw M135i M X Tracción Integral - Okm 2022,2023,85.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1230544286-bmw-m340i-bmw-340-bmw-340i-okm-mercedes-c300-_JM#position=24&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 3 M340 - Tracción Integral  - 387 Cv,2023,95.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1383004113-bmw-118i-sport-okm-ano-2023-bmw-118-no-audi-a3-ni-a200-_JM#position=25&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 1 118i Sport Okm Linea Nueva,2023,55.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1417681784-zanella-z-truck-cabina-simple-changan-md201-pick-up-okm-_JM#position=26&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Zanella Z-truck Cabina Simple Cabina Simple,2023,10.360.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1379277627-chevrolet-cruze-ltz-aut-2023-okm-inmediata-go-_JM#position=27&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Chevrolet Cruze 1.4 Ltz At Sedan,2023,12.300.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1410375824-ford-transit-minibus-171-at-2023-okm-_JM#position=28&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Ford Transit Minibus 17 +1 At,2023,25.399.644,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1382744803-audi-a5-40-tfsi-advanced-okm-_JM#position=29&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Audi A5 40 Tfsi Advanced,2021,72.000,40 tfsi advanced,Blanco,Nafta,5,Automática,40 tfsi 190 cv,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1377035135-audi-a3-35-tfsi-sportback-okm-_JM#position=30&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Audi A3 35 Tfsi Sportback,2023,51.600,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1439886110-bmw-118i-sport-okm-ano-2023-bmw-118-no-audi-a3-ni-a200-_JM#position=31&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 1 118i Sport Okm Linea Nueva,2023,55.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1369304967-volkswagen-vento-gli-20-tsi-dgs-230cv-l2023-okm-estock-fv-_JM#position=32&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Volkswagen Vento Gli,2023,27.999.999,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1222212192-bmw-x3-30e-hibrida-bmw-electrica-okm-2023-no-audi-q5-_JM#position=33&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw X3 Bmw X3 Hibrida Enchufable,2023,128.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1146032520-peugeot-partner-16-furgon-nafta-okm-2023-walter-_JM#position=34&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Peugeot Partner Furgon Furgon Nafta,2022,9.600.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1406065544-ds7-new-bastille-16t-dolar-oficial-okm-2023-ent-inmediata-_JM#position=35&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Ds 7 New Bastille,2023,123.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1404313264-ds7-new-bastille-16t-dolar-oficial-okm-2023-ent-inmediata-_JM#position=36&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Ds New Bastille Bastille,2023,123.000,Bastille,Blanco,Nafta,5,Automática secuencial,1.6 HP 215,SUV
0km,https://auto.mercadolibre.com.ar/MLA-1361090906-ds9-rivoli-215-at8-okm-2023-dolar-oficial-ent-inmediata-_JM#position=37&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Ds 9 Rivoli 215 At8,2023,109.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1387097864-commander-limited-13t-at6-4x2-okm-entrega-inmediata-_JM#position=38&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Jeep Commander 1.3t At6 4x2,2023,22.000.000,1.3T AT6 4x2,Negro,Nafta,5,Automática,1.3T,SUV
0km,https://auto.mercadolibre.com.ar/MLA-1327394611-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=39&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 1 M135i - Tracción Integral 306 Cv,2023,85.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1327394231-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=40&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 1 M135i Tracción Integral -306 Cv,2023,85.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1483555154-bmw-430i-coupe-sport-okm-2023-bmw-430-audi-a5-_JM#position=41&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 4 430i Coupé Okm Linea Nueva,2023,90.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1377596325-bmw-serie-1-m135i-xdrive-m-performance-okm-ano-2023-_JM#position=42&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Bmw Serie 1 M Performance Xdrive,2023,87.900,M Performance Xdrive,Celeste,Nafta,5,2.0 306 hp,Hatchback,0 km
0km,https://auto.mercadolibre.com.ar/MLA-1134224167-chevrolet-s10-mitsubishi-l200-at-4x4-okm-_JM#position=43&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Chevrolet S-10 Mitsubishi L200 Okm,2023,19.600.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1378544736-jeep-commander-limited-13-t270-4x2-nafta-okm-2023-_JM#position=44&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Jeep Commander Limited 1.3t,2022,32.000.000,LIMITED 1.3T,Gris,Nafta,5,Automática,1.3,Monovolumen
0km,https://auto.mercadolibre.com.ar/MLA-1479383758-jeep-renegade-trailhawk-13-t270-4x4-2023-at9-okm-_JM#position=45&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Jeep Renegade Trailhawk 1.3 T270,2023,24.000.000,TRAILHAWK 1.3 T270,Gris,Nafta,5,Automática,1.3,Off-Road
0km,https://auto.mercadolibre.com.ar/MLA-1144736920-peugeot-expert-furgon-hdi-okm-2023-walter-_JM#position=46&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Peugeot Expert Furgon Premiun Hdi,2022,11.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1443654312-renault-kangoo-ii-express-confort-16-sce-okm-_JM#position=47&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Renault Kangoo Express Confort 1.6 Sce,2023,3.148.343,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1371996953-jeep-renegade-serie-s-t270-13-2023-okm-4x2-caja-automatica-_JM#position=48&search_layout=grid&type=item&tracking_id=ea944ccf-57ef-429f-b866-524fb34c223c,Jeep Renegade Serie S,2023,22.500.000,SERIE S,Gris,Nafta,5,Automática,1.3,SUV
0km,https://auto.mercadolibre.com.ar/MLA-1371614709-toyota-hiace-28-tdi-commuter-6at-14a-okm-patentada-_JM#position=1&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Toyota Hiace 2.8 Tdi Commuter 6at 14a,2023,45.500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1479916342-volkswagen-taos-confortline-okm-2023-concesionario43-_JM#position=2&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Volkswagen Taos 1.4 250 Tsi Comfortline,2023,17.700.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1477477988-fiat-cronos-okm-cuota-meeenor-precio-208-logan-ka-clio-ec-_JM#position=3&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Fiat Cronos 1.3 Gse Drive Pack Conectividad,2023,900.000,1.3 Gse Drive Pack Conectividad,Rojo,Nafta,4,Manual,1.3,Sedán
0km,https://auto.mercadolibre.com.ar/MLA-1475923750-fiat-cronos-okm-usado-palio-punto-corsa-clio-argo-sandero-ec-_JM#position=4&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Fiat Cronos 1.3 Gse Drive Pack Conectividad,2023,350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1471078538-volkswagen-amarok-extreme-v6-okm-2023-concesionario43-_JM#position=5&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Volkswagen Amarok 3.0 V6 Extreme,2023,27.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1381092521-montana-turbo-okm-2023-entrega-inmediata-b--_JM#position=6&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Montana 1.8 Ls Pack,2023,11.450.500,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1461974598-volkswagen-amarok-extreme-v6-4x4-258cv-okm-leasing-financio-_JM#position=7&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Volkswagen Amarok 3.0 V6 Extreme,2023,21.980.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450477980-chevrolet-s10-ltz-4x4-at-okmmm7-_JM#position=8&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,2023,14.996.980,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1377347829-chevrolet-spin-lt-okmmm7-_JM#position=9&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Spin 1.8 Lt 5as 105cv,2023,8.599.900,1.8 Lt 5as 105cv,Plateado,Nafta,5,Manual,1.8,Monovolumen
0km,https://auto.mercadolibre.com.ar/MLA-1377345573-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=10&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,2023,14.079.852,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450299734-chevrolet-tracker-12-turbo-at-okmmm7-_JM#position=11&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Tracker 1.2 Turbo At,2023,8.099.852,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450221660-chevrolet-tracker-12-turbo-at-okmmm7-_JM#position=12&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Tracker 1.2 Turbo At,2023,8.256.363,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450549126-chevrolet-cruze-ltz-at-okmmm7-_JM#position=13&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Cruze 1.4 Ltz At Sedan,2023,10.159.850,1.4 Ltz At Sedan,Plateado,Nafta,4,Automática,1.4,Sedán
0km,https://auto.mercadolibre.com.ar/MLA-1377331697-s10-z71-4x4-at-okmmm7-_JM#position=14&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,2023,14.029.885,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450549030-chevrolet-tracker-premier-okm1mm7-_JM#position=15&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Tracker 1.2 Premier Turbo At,2023,11.789.956,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450548398-chevrolet-cruze-lt-at-okmmm7-_JM#position=16&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Cruze 1.4 Lt At Sedan,2023,8.799.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450297746-chevrolet-equinox-premier-okmmm7-_JM#position=17&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Equinox 1.5t Premier 4wd,2023,22.599.800,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450473232-chevrolet-tracker-premier-okmmm7-_JM#position=18&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet Tracker 1.2 Premier Turbo At,2023,11.899.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450548172-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=19&search_layout=grid&type=item&tracking_id=40391150-cc74-4eb2-ba39-0c581c93cfc2,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,2023,14.298.741,N/A,N/A,N/A,N/A,N/A,N/A,N/A
