type,link_web,modelo,anio,precio,version,color,combustible,puertas,transmision,motor,tipo de carroceria
0km,https://auto.mercadolibre.com.ar/MLA-1378795745-ds4-performance-line-okm-2023-dolar-oficial-ent-inmediata-_JM#position=25&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ds Ds4 1.6 Performance Line 215 At8,2023,81.700,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1375730305-jeep-renegade-sport-18-mt-okm-mc-_JM#position=26&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Jeep Renegade 1.8 Sport,2023,10.290.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1401829582-volkswagen-amarok-extreme-v6-okm-entrega-ya-solo-ac-_JM#position=27&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Volkswagen Amarok 3.0 V6 Extreme,2023,14.800.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1360861193-volkswagen-amarok-comfortline-v6-okm-2023-entrega-inmed-fv-_JM#position=28&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,18.099.990,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1220970587-ford-ranger-22l-cd-4x2-xlt-at-diesel-okm-2023-3-_JM#position=29&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ford Ranger Xlt 2.2 At,2022,16.174.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1220778180-ford-ranger-22l-cd-4x2-xlt-at-diesel-okm-2023-_JM#position=30&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ford Ranger Xlt 2.2 At,2022,16.174.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1220970373-ford-transit-diesel-22l-4x2-furgon-medio-te-okm-2023-2-_JM#position=31&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ford Transit 2.2 Furgon Mediano 350m,2022,16.088.660,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1220913054-ford-transit-diesel-22l-4x2-furgon-medio-te-okm-2023-_JM#position=32&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ford Transit 2.2 Furgon Mediano 350m,2022,16.088.660,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1438841814-ds4-performance-line-okm-2023-dolar-oficial-ent-inmediata-_JM#position=33&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ds Ds4 1.6 Performance Line 215 At8,2023,76.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1135129302-renault-logan-2023-16-life-okm-mejor-financiacionpermu-os-_JM#position=34&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Renault Logan 1.6 16v Life,2021,6.657.000,1.6 16v Life,Gris,Nafta,4,Manual,1.6,Sedán
0km,https://auto.mercadolibre.com.ar/MLA-1384467607-renault-master-l1h1-23-dci-130-cv-2023-okm-en-stock-m-_JM#position=35&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Renault Master 2.3 L1h1 Aa,2023,25.999.970,2.3 L1h1 Aa,Blanco,Eléctrico,3,Manual,2.3,Furgón
0km,https://auto.mercadolibre.com.ar/MLA-1469335030-citroen-berlingo-okm-16-hdi-92-okm-no-kangoo-partner-js-_JM#position=36&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Citroën Berlingo 1.6 Hdi 92 Bussines,2023,8.500.000,1.6 Hdi 92 Bussines,Eléctrico,3,Manual,1.6,Furgón,0 km
0km,https://auto.mercadolibre.com.ar/MLA-1466236606-logan-life-16-okm-stock-fisico-oferta-pat-incluido-cp-_JM#position=37&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Renault Logan 1.6 16v Life,2023,4.819.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1465003540-peugeot-208-feline-at-am24-okm-2023-ent-inmediata-_JM#position=38&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Peugeot 208 1.6l Feline Tiptronic Am23.5,2023,14.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1464625556-alaskan-emotion-4-x-2-190-motor-nissan-okm-stock-fis-cp-_JM#position=39&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Renault Alaskan 2.3 Bit 16v Emotion Mt 4x2,2023,11.236.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1455222104-ds4-performance-line-version-full-215-at8-okm-2023-_JM#position=40&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ds Ds4 1.6 Performance Line 215 At8,2023,31.400.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1453328710-peugeot-208-feline-tiptronic-at-16-2023-okm-_JM#position=41&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Peugeot 208 1.6l Style Tiptronic,2023,14.500.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1374681247-ds7-new-bastille-2023-215-16-turbo-at8-okm-_JM#position=42&search_layout=grid&type=item&tracking_id=bad514f4-9023-4a66-b4a6-1abb7d2695af,Ds Ds7 Crossback 1.6 Puretech At Performance Line,2023,44.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
