type,link_web,modelo,precio
0km,https://auto.mercadolibre.com.ar/MLA-1275755579-peugeot-expert-hdi-okm-2023-walter-_JM#position=48&search_layout=grid&type=item&tracking_id=1bc71237-af1d-4b26-a55b-2f66c74cd4a8,Peugeot Expert 1.6 Hdi Premium,9.900.000
0km,https://auto.mercadolibre.com.ar/MLA-1363526999-peugeot-208-active-automatico-tiptronic-16-okm-2023-nuevo-_JM#position=1&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Peugeot 208 1.6l Active Tiptronic,10.300.000
0km,https://auto.mercadolibre.com.ar/MLA-1144618385-peugeot-208-new-like-12-okm-walter-_JM#position=2&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Peugeot 208 1.6 Like Pack,8.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1255316815-peugeot-208-allure-pack-okm-walter-_JM#position=3&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Peugeot 208 1.6 Allure,987.000
0km,https://auto.mercadolibre.com.ar/MLA-1376595361-toyota-etios-2023-15-sedan-xls-okm-entrega-inmediata-_JM#position=4&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Toyota Etios 1.5 Sedan Xls,15.500
0km,https://auto.mercadolibre.com.ar/MLA-1376619323-toyota-hilux-2023-okm-24-cd-dx-150cv-4x4-entrega-inmediata-_JM#position=5&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Toyota Hilux 2.4 Cd Dx 150cv 4x4,15.600.000
0km,https://auto.mercadolibre.com.ar/MLA-1416256874-kangoo-stepway-2023-okm-_JM#position=6&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Renault Kangoo 1.6 Sce Stepway,14.400.000
0km,https://auto.mercadolibre.com.ar/MLA-1495353706-bmw-x1-20i-xdrive-okm-ano-2023-audi-q3-ni-audi-q5-gla-250-_JM#position=7&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw X1 X1 Linea Nueva 2023 - 205 Cv,90.900
0km,https://auto.mercadolibre.com.ar/MLA-1493460610-bmw-x1-20i-xdrive-okm-ano-2023-audi-q3-ni-audi-q5-gla-250-_JM#position=8&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw X1 X1 Linea Nueva 2023,90.900
0km,https://auto.mercadolibre.com.ar/MLA-1487432328-bmw-320i-okm-2023-bmw-320-okm-no-audi-a4-ni-mercedes-c200-_JM#position=9&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 3 320i Linea Nueva - Tablero Curvo 2023,75.000
0km,https://auto.mercadolibre.com.ar/MLA-1485880492-bmw-m240i-bmw-240-bmw-240i-okm-no-a35-ni-a45-ni-s3-_JM#position=10&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 2 M240i Xdrive Linea Nueva 2023,116.900
0km,https://auto.mercadolibre.com.ar/MLA-1483555154-bmw-430i-coupe-sport-okm-2023-bmw-430-audi-a5-_JM#position=11&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 4 430i Coupé Okm Linea Nueva,90.000
0km,https://auto.mercadolibre.com.ar/MLA-1483004250-bmw-x1-20i-xdrive-okm-ano-2023-audi-q3-ni-audi-q5-gla-250-_JM#position=12&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw X1 X1 20i Linea Nueva 2024 - 4x4,90.900
0km,https://auto.mercadolibre.com.ar/MLA-1382411033-jeep-renegade-sport-manual-2023-okm-_JM#position=13&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Jeep Renegade 1.8 Sport,100.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1378566045-bmw-x3-okm-bmw-x3-hibrida-enchufable-linea-2023-audi-q5-_JM#position=14&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw X3 X3 Hibrida Enchufable 292 Cv,128.000
0km,https://auto.mercadolibre.com.ar/MLA-1448278774-chevrolet-montana-premier-12-turbo-at-okmmm7-_JM#position=15&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Chevrolet Montana Premier,13.898.955
0km,https://auto.mercadolibre.com.ar/MLA-1440847104-bmw-m340i-bmw-340-bmw-340i-okm-2023-mercedes-c300-_JM#position=16&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 3 Bmw 340 - Bmw M340 - Bmw M340i Okm - 387 Cv,95.000
0km,https://auto.mercadolibre.com.ar/MLA-1375154225-bmw-m240i-bmw-240-bmw-240i-okm-no-a35-ni-a45-ni-s3-_JM#position=17&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 2 M240i Linea Nueva 2023 - Bmw 240i 2023,109.000
0km,https://auto.mercadolibre.com.ar/MLA-1375176971-bmw-430i-okm-coupe-sport-linea-nueva-2023-okm-bmw-430-_JM#position=18&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 4 430i Coupé Linea Nueva 2023,90.000
0km,https://auto.mercadolibre.com.ar/MLA-1415611690-bmw-x2-20i-okm-2023-bmw-x2-20-no-bmw-x1-ni-gla-200-ni-q3-_JM#position=19&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw X2 X2 20i Versión 2023,78.000
0km,https://auto.mercadolibre.com.ar/MLA-1367385455-bmw-m240-bmw-240-bmw-240i-okm-2023-no-a35-ni-a45-ni-s3-_JM#position=20&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 2 M240i Okm Linea Nueva 2023,109.000
0km,https://auto.mercadolibre.com.ar/MLA-1366479981-bmw-m240i-okm-bmw-240i-bmw-240-no-audi-s3-ni-a35-ni-a45-_JM#position=21&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 2 M240i Linea 2023 - Tracción Integral 387 Cv,109.000
0km,https://auto.mercadolibre.com.ar/MLA-1381938542-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=22&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 1 Bmw M135i M X Tracción Integral - Okm 2023,85.000
0km,https://auto.mercadolibre.com.ar/MLA-1363265651-bmw-m240i-bmw-240-bmw-240i-okm-no-a35-ni-a45-ni-s3-_JM#position=23&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 2 M240i Linea Nueva 2023 - 387 Cv Tracción Integral,118.500
0km,https://auto.mercadolibre.com.ar/MLA-1379247353-fiat-cronos-mt5-pack-plus-tu-okm-financiado-por-cupo-men-_JM#position=24&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Fiat Cronos 1.3 Conectividad,1.700.000
0km,https://auto.mercadolibre.com.ar/MLA-1146581828-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=25&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 1 Bmw M135i M X Tracción Integral - Okm 2022,85.000
0km,https://auto.mercadolibre.com.ar/MLA-1230544286-bmw-m340i-bmw-340-bmw-340i-okm-mercedes-c300-_JM#position=26&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 3 M340 - Tracción Integral  - 387 Cv,95.000
0km,https://auto.mercadolibre.com.ar/MLA-1383004113-bmw-118i-sport-okm-ano-2023-bmw-118-no-audi-a3-ni-a200-_JM#position=27&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 1 118i Sport Okm Linea Nueva,55.000
0km,https://auto.mercadolibre.com.ar/MLA-1417681784-zanella-z-truck-cabina-simple-changan-md201-pick-up-okm-_JM#position=28&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Zanella Z-truck Cabina Simple Cabina Simple,10.360.000
0km,https://auto.mercadolibre.com.ar/MLA-1379277627-chevrolet-cruze-ltz-aut-2023-okm-inmediata-go-_JM#position=29&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Chevrolet Cruze 1.4 Ltz At Sedan,13.900.900
0km,https://auto.mercadolibre.com.ar/MLA-1410375824-ford-transit-minibus-171-at-2023-okm-_JM#position=30&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Ford Transit Minibus 17 +1 At,27.177.364
0km,https://auto.mercadolibre.com.ar/MLA-1382744803-audi-a5-40-tfsi-advanced-okm-_JM#position=31&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Audi A5 40 Tfsi Advanced,68.900
0km,https://auto.mercadolibre.com.ar/MLA-1376178985-bmw-m240-bmw-240-bmw-240i-okm-2023-no-a35-ni-a45-ni-s3-_JM#position=32&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 2 Bmw M240 Bmw 240 Bmw 240i Okm 2023 -,118.500
0km,https://auto.mercadolibre.com.ar/MLA-1439886110-bmw-118i-sport-okm-ano-2023-bmw-118-no-audi-a3-ni-a200-_JM#position=33&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 1 118i Sport Okm Linea Nueva,55.000
0km,https://auto.mercadolibre.com.ar/MLA-1369304967-volkswagen-vento-gli-20-tsi-dgs-230cv-l2023-okm-estock-fv-_JM#position=34&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Volkswagen Vento Gli,30.999.999
0km,https://auto.mercadolibre.com.ar/MLA-1222212192-bmw-x3-30e-hibrida-bmw-electrica-okm-2023-no-audi-q5-_JM#position=35&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw X3 Bmw X3 Hibrida Enchufable,128.000
0km,https://auto.mercadolibre.com.ar/MLA-1146032520-peugeot-partner-16-furgon-nafta-okm-2023-walter-_JM#position=36&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Peugeot Partner Furgon Furgon Nafta,9.600.000
0km,https://auto.mercadolibre.com.ar/MLA-1406065544-ds7-new-bastille-16t-dolar-oficial-okm-2023-ent-inmediata-_JM#position=37&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Ds 7 New Bastille,120.000
0km,https://auto.mercadolibre.com.ar/MLA-1404313264-ds7-new-bastille-16t-dolar-oficial-okm-2023-ent-inmediata-_JM#position=38&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Ds New Bastille Bastille,120.000
0km,https://auto.mercadolibre.com.ar/MLA-1361090906-ds9-rivoli-215-at8-okm-2023-dolar-oficial-ent-inmediata-_JM#position=39&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Ds 9 Rivoli 215 At8,109.000
0km,https://auto.mercadolibre.com.ar/MLA-1387097864-commander-limited-13t-at6-4x2-okm-entrega-inmediata-_JM#position=40&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Jeep Commander 1.3t At6 4x2,47.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1327394611-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=41&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 1 M135i - Tracción Integral 306 Cv,85.000
0km,https://auto.mercadolibre.com.ar/MLA-1327394231-bmw-m135i-bmw-m135-okm-ano-2023-no-audi-s3-ni-mercedes-a35-_JM#position=42&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 1 M135i Tracción Integral -306 Cv,85.000
0km,https://auto.mercadolibre.com.ar/MLA-1377596325-bmw-serie-1-m135i-xdrive-m-performance-okm-ano-2023-_JM#position=43&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Bmw Serie 1 M Performance Xdrive,87.900
0km,https://auto.mercadolibre.com.ar/MLA-1134224167-chevrolet-s10-mitsubishi-l200-at-4x4-okm-_JM#position=44&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Chevrolet S-10 Mitsubishi L200 Okm,19.600.000
0km,https://auto.mercadolibre.com.ar/MLA-1491180204-audi-a3-sedan-40-tfsi-okm-_JM#position=45&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Audi A3 Sedan 40 Tfsi,59.800
0km,https://auto.mercadolibre.com.ar/MLA-1169853754-renault-stepway-zen-16-oportunidad-okm-2023-_JM#position=46&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Renault Sandero Stepway Intens,8.450.500
0km,https://auto.mercadolibre.com.ar/MLA-1378544736-jeep-commander-limited-13-t270-4x2-nafta-okm-2023-_JM#position=47&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Jeep Commander Limited 1.3t,32.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1479383758-jeep-renegade-trailhawk-13-t270-4x4-2023-at9-okm-_JM#position=48&search_layout=grid&type=item&tracking_id=92405d60-5879-40cf-bf87-a41965446fd3,Jeep Renegade Trailhawk 1.3 T270,24.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1144736920-peugeot-expert-furgon-hdi-okm-2023-walter-_JM#position=1&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Peugeot Expert Furgon Premiun Hdi,11.900.000
0km,https://auto.mercadolibre.com.ar/MLA-1443654312-renault-kangoo-ii-express-confort-16-sce-okm-_JM#position=2&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Renault Kangoo Express Confort 1.6 Sce,3.148.343
0km,https://auto.mercadolibre.com.ar/MLA-1371996953-jeep-renegade-serie-s-t270-13-2023-okm-4x2-caja-automatica-_JM#position=3&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Jeep Renegade Serie S,22.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1371614709-toyota-hiace-28-tdi-commuter-6at-14a-okm-patentada-_JM#position=4&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Toyota Hiace 2.8 Tdi Commuter 6at 14a,45.500
0km,https://auto.mercadolibre.com.ar/MLA-1475923750-fiat-cronos-okm-usado-palio-punto-corsa-clio-argo-sandero-ec-_JM#position=5&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Fiat Cronos 1.3 Gse Drive Pack Conectividad,350.000
0km,https://auto.mercadolibre.com.ar/MLA-1461974598-volkswagen-amarok-extreme-v6-4x4-258cv-okm-leasing-financio-_JM#position=6&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 3.0 V6 Extreme,21.980.000
0km,https://auto.mercadolibre.com.ar/MLA-1450477980-chevrolet-s10-ltz-4x4-at-okmmm7-_JM#position=7&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,14.996.980
0km,https://auto.mercadolibre.com.ar/MLA-1377347829-chevrolet-spin-lt-okmmm7-_JM#position=8&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Spin 1.8 Lt 5as 105cv,8.599.900
0km,https://auto.mercadolibre.com.ar/MLA-1377345573-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=9&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,14.079.852
0km,https://auto.mercadolibre.com.ar/MLA-1450221660-chevrolet-tracker-12-turbo-at-okmmm7-_JM#position=10&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Tracker 1.2 Turbo At,8.256.363
0km,https://auto.mercadolibre.com.ar/MLA-1450549126-chevrolet-cruze-ltz-at-okmmm7-_JM#position=11&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Cruze 1.4 Ltz At Sedan,10.159.850
0km,https://auto.mercadolibre.com.ar/MLA-1377331697-s10-z71-4x4-at-okmmm7-_JM#position=12&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,14.029.885
0km,https://auto.mercadolibre.com.ar/MLA-1450549030-chevrolet-tracker-premier-okm1mm7-_JM#position=13&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Tracker 1.2 Premier Turbo At,11.789.956
0km,https://auto.mercadolibre.com.ar/MLA-1450548398-chevrolet-cruze-lt-at-okmmm7-_JM#position=14&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Cruze 1.4 Lt At Sedan,8.799.900
0km,https://auto.mercadolibre.com.ar/MLA-1450297746-chevrolet-equinox-premier-okmmm7-_JM#position=15&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Equinox 1.5t Premier 4wd,22.599.800
0km,https://auto.mercadolibre.com.ar/MLA-1450473232-chevrolet-tracker-premier-okmmm7-_JM#position=16&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Tracker 1.2 Premier Turbo At,11.899.900
0km,https://auto.mercadolibre.com.ar/MLA-1450548172-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=17&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,14.298.741
0km,https://auto.mercadolibre.com.ar/MLA-1450195012-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=18&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,14.098.630
0km,https://auto.mercadolibre.com.ar/MLA-1450320156-chevrolet-tracker-premier-okmmm7-_JM#position=19&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Tracker 1.2 Premier Turbo At,11.799.900
0km,https://auto.mercadolibre.com.ar/MLA-1450229866-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=20&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,13.898.982
0km,https://auto.mercadolibre.com.ar/MLA-1450192304-chevrolet-cruze-ltz-at-okmmm7-_JM#position=21&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Cruze 1.4 Ltz At Sedan,9.789.900
0km,https://auto.mercadolibre.com.ar/MLA-1450293820-chevrolet-s10-ltz-4x4-at-okmmm7-_JM#position=22&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,14.899.700
0km,https://auto.mercadolibre.com.ar/MLA-1376259565-chevrolet-trailblazer-okmmm7-_JM#position=23&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Trailblazer 2.8 Nueva Ltz Tdci 200cv,22.198.890
0km,https://auto.mercadolibre.com.ar/MLA-1375905771-chevrolet-s10-ltz-4x4-at-okmmm7-_JM#position=24&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,14.089.800
0km,https://auto.mercadolibre.com.ar/MLA-1437424260-fiat-cronos-drive-pack-plus-okm-2023-_JM#position=25&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Fiat Cronos 1.3 Drive Mt,8.300.000
0km,https://auto.mercadolibre.com.ar/MLA-1372372115-nueva-fiat-strada-2023-okm-tomo-working-adventure-fiorino-p-_JM#position=26&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Fiat Strada 1.4 8v Freedom Cd,2.400.000
0km,https://auto.mercadolibre.com.ar/MLA-1425573058-fiat-argo-drive-cvt-ultimas-unidades-para-entregar-okm-s--_JM#position=27&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Fiat Argo 1.3 Drive Gse Automática,6.500.900
0km,https://auto.mercadolibre.com.ar/MLA-1410613906-volkswagen-amarok-trendline-140cv-4x2-manual-okm-rt-a1-_JM#position=28&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,12.490.000
0km,https://auto.mercadolibre.com.ar/MLA-1403967882-citroen-c3-2023-vti-eat6-feel-pack-look-okm-tope-gama-ya-_JM#position=29&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Citroën C3 1.6 Vti 115 Feel,17.900
0km,https://auto.mercadolibre.com.ar/MLA-1392454730-vw-nivus-10-turbo-highline-okm-patentado-2022-sg-_JM#position=30&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Nivus 1.0 Tsi Tiptronic Highline,19.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1322684477-volkswagen-polo-track-16-manual-okm-entrega-ya-rt-a1-_JM#position=31&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Polo Trend,8.990.000
0km,https://auto.mercadolibre.com.ar/MLA-1317559433-volkswagen-taos-comfortline-250tsi-at-okm-stock-fisico-rt-a1-_JM#position=32&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Taos 1.4 250 Tsi Comfortline,16.600.000
0km,https://auto.mercadolibre.com.ar/MLA-1317552920-volkswagen-taos-highline-250tsi-150cv-aut-okm-stock-rt-a1-_JM#position=33&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Taos 1.4 250 Tsi Highline,21.700.000
0km,https://auto.mercadolibre.com.ar/MLA-1317424905-volkswagen-taos-comfortline-250tsi-14t-150cv-aut-okm-rt-a1-_JM#position=34&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Taos 1.4 250 Tsi Comfortline,16.700.000
0km,https://auto.mercadolibre.com.ar/MLA-1317552874-volkswagen-amarok-v6-extreme-258cv-at-okm-stock-fisico-rt-a1-_JM#position=35&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 3.0 V6 Extreme,26.900.000
0km,https://auto.mercadolibre.com.ar/MLA-1317546204-volkswagen-amarok-highline-180cv-4x2-aut-okm-entrega-rt-a1-_JM#position=36&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline At,17.600.000
0km,https://auto.mercadolibre.com.ar/MLA-1317559144-volkswagen-amarok-comfortline-180cv-4x2-automatic-okm-rt-a1-_JM#position=37&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline At,15.700.000
0km,https://auto.mercadolibre.com.ar/MLA-1317424661-volkswagen-amarok-comfortline-180cv-4x2-manual-okm-rt-a1-_JM#position=38&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,14.400.000
0km,https://auto.mercadolibre.com.ar/MLA-1317559093-volkswagen-amarok-trendline-140cv-4x4-okm-entrega-ya-rt-a1-_JM#position=39&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 2.0 Cs Tdi 140cv Trendline 4x4,12.700.000
0km,https://auto.mercadolibre.com.ar/MLA-1317449288-volkswagen-amarok-v6-comfortline-258cv-4x4-at-okm-entr-rt-a1-_JM#position=40&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 3.0 V6 Cd Comfortline,19.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1457213820-volkswagen-amarok-2023-30-v6-extreme-entrega-inmediata-okm-_JM#position=41&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 3.0 V6 Extreme,26.190.000
0km,https://auto.mercadolibre.com.ar/MLA-1374733343-citron-nuevo-c3-2023-16-vti-115-at6-feel-pack-okm-_JM#position=42&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Citroën C3 1.6 Vti 115 At6 Feel,11.875.000
0km,https://auto.mercadolibre.com.ar/MLA-1379197761-volkswagen-amarok-2023-30-v6-cd-comfortline-258cv-okm-_JM#position=43&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 3.0 V6 Cd Comfortline,18.900.000
0km,https://auto.mercadolibre.com.ar/MLA-1379184301-volkswagen-amarok-2023-30-v6-cd-highline-258cv-okm-_JM#position=44&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 3.0 V6 Cd Highline,23.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1457201024-volkswagen-amarok-2023-30-v6-extreme-black-style-okm-_JM#position=45&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Volkswagen Amarok 3.0 V6 Extreme Black Style,29.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1377335587-chevrolet-tracker-premier-okmmm7-_JM#position=46&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Chevrolet Tracker 1.2 Premier Turbo At,10.999.850
0km,https://auto.mercadolibre.com.ar/MLA-1366309705-fiat-cronos-drive-pack-s-design-2023-okm-patentado-_JM#position=47&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Fiat Cronos 1.3 Drive S-design Mt,8.280.000
0km,https://auto.mercadolibre.com.ar/MLA-1425540680-fiat-cronos-precision-at-2023-okm-_JM#position=48&search_layout=grid&type=item&tracking_id=f89f2503-95e7-49d7-bc0f-f4ba19da0d38,Fiat Cronos 1.3 Precision Cvt,8.950.000
