type,link_web,modelo,precio
0km,https://auto.mercadolibre.com.ar/MLA-1480428730-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-b9-_JM#position=19&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Extreme,28.500.002
0km,https://auto.mercadolibre.com.ar/MLA-1480428564-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-b9-_JM#position=20&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Highline,26.850.002
0km,https://auto.mercadolibre.com.ar/MLA-1384498565-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-b9-_JM#position=21&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Comfortline,21.550.000
0km,https://auto.mercadolibre.com.ar/MLA-1384473011-volkswagen-vw-amarok-highline-4x4-at-okm-precio-full-2023-b9-_JM#position=22&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,21.350.000
0km,https://auto.mercadolibre.com.ar/MLA-1384521473-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-b9-_JM#position=23&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,21.200.002
0km,https://auto.mercadolibre.com.ar/MLA-1384521389-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-b9-_JM#position=24&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,16.950.001
0km,https://auto.mercadolibre.com.ar/MLA-1468543202-volkswagen-amarok-confortline-v6-258-cv-okm-al-_JM#position=25&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Comfortline,19.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1468621010-volkswagen-amarok-extreme-v6-258-cv-al-okm-_JM#position=26&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Extreme,22.850.000
0km,https://auto.mercadolibre.com.ar/MLA-1468594430-volkswagen-amarok-highline-4x4-at-v6-258-cv-2023-al-okm-_JM#position=27&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Highline,22.850.000
0km,https://auto.mercadolibre.com.ar/MLA-1465827808-chevrolet-cruze-rs-okm-nuevo-ano-2023-financiacion-gp-_JM#position=28&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet Cruze 5 1.4 Rs At 5 P,15.470.000
0km,https://auto.mercadolibre.com.ar/MLA-1462010728-fiat-pulse-okm-todos-los-modelos-financiacioncontadomc-_JM#position=29&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Fiat Pulse 1.0 Impetus T3 Cvt,3.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1378731559-amarok-confortline-4x2-manual-entrega-inmediata-okm-al-_JM#position=30&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,14.550.000
0km,https://auto.mercadolibre.com.ar/MLA-1378150595-renault-alaskan-outsider-23-at-4x4-biturbo-okm-en-oferta-fd-_JM#position=31&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Renault Alaskan 2.3 Bit 16v Outsider 4x4,12.819.000
0km,https://auto.mercadolibre.com.ar/MLA-1450204732-chevrolet-tracker-premier-okmmm7-_JM#position=32&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet Tracker 1.2 Premier Turbo At,11.662.925
0km,https://auto.mercadolibre.com.ar/MLA-1450292866-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=33&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,13.599.599
0km,https://auto.mercadolibre.com.ar/MLA-1376883531-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=34&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,14.099.870
0km,https://auto.mercadolibre.com.ar/MLA-1376860385-chevrolet-tracker-ltz-12-turbo-at-okmmm7-_JM#position=35&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet Tracker 1.2 Turbo Ltz At,10.399.850
0km,https://auto.mercadolibre.com.ar/MLA-1376834721-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=36&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,14.209.852
0km,https://auto.mercadolibre.com.ar/MLA-1448037614-chevrolet-cruze-premier-okmmm7-_JM#position=37&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet Cruze 5 1.4 Premier 5p,10.996.339
0km,https://auto.mercadolibre.com.ar/MLA-1447880202-bmw-m235i-okm-2023-bmw-235i-okm-no-m135i-ni-bmw-m240i-_JM#position=38&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Bmw Serie 2 3.0 M235i M Package 326cv,88.000
0km,https://auto.mercadolibre.com.ar/MLA-1376325689-fiat-cronos-okm-y-patentados-s-rodar-mod2023-mc-_JM#position=39&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Fiat Cronos 1.3 Drive S-design Mt,5.900.000
0km,https://auto.mercadolibre.com.ar/MLA-1376541757-volkswagen-vento-gli-20-tsi-dsg-okm-al-_JM#position=40&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Vento 2.0 Tsi Gli 211cv App Connect + Nav,32.000.000
0km,https://auto.mercadolibre.com.ar/MLA-1434512548-peugeot-okm-208-active-pk-am24-mejor-precio-aa-_JM#position=41&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Peugeot 208 1.6l Active Pack,9.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1433335788-peugeot-okm-208-active-pk-am24-mejor-precio-aa-_JM#position=42&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Peugeot 208 1.6l Active Pack,9.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1429819984-peugeot-precio-remate-okm-208-active-pk-am24-aa-_JM#position=43&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Peugeot 208 1.6l Active Pack,9.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1369574669-bmw-m235i-gran-coupe-okm-2023-bmw-235-bmw-serie-2-235i-_JM#position=44&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Bmw Serie 2 3.0 M235i M Package 326cv,90.000
0km,https://auto.mercadolibre.com.ar/MLA-1454922960-volkswagen-amarok-30-v6-258-cv-extreme-al-okm-_JM#position=45&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Extreme,24.850.000
