indice_tiempo,region_destino,turistas
2017-01-01,PBA - Partidos del GBA,86330
2017-01-01,PBA - Resto,4236701
2017-04-01,CABA,234527
2017-04-01,Córdoba,634095
2017-04-01,Cuyo,317886
2017-04-01,Litoral,912236
2017-04-01,Norte,715345
2017-04-01,Patagonia,241907
2017-04-01,PBA - Partidos del GBA,80052
2017-04-01,PBA - Resto,1490146
2017-07-01,CABA,403398
2017-07-01,Córdoba,969728
2017-07-01,Cuyo,695508
2017-07-01,Litoral,1442468
2017-07-01,Norte,1285930
2017-07-01,Patagonia,585282
2017-07-01,PBA - Partidos del GBA,83401
2017-07-01,PBA - Resto,2938119
2017-10-01,CABA,326913
2017-10-01,Córdoba,916685
2017-10-01,Cuyo,589101
2017-10-01,Litoral,1284935
2017-10-01,Norte,1027948
2017-10-01,Patagonia,437613
2017-10-01,PBA - Partidos del GBA,124688
2017-10-01,PBA - Resto,2279924
2018-01-01,CABA,170119
2018-01-01,Córdoba,1488301
2018-01-01,Cuyo,877251
2018-01-01,Litoral,1599712
2018-01-01,Norte,1173066
2018-01-01,Patagonia,804514
2018-01-01,PBA - Partidos del GBA,178335
2018-01-01,PBA - Resto,5130067
2018-04-01,CABA,209777
2018-04-01,Córdoba,573476
2018-04-01,Cuyo,264849
2018-04-01,Litoral,821553
2018-04-01,Norte,704853
2018-04-01,Patagonia,332018
2018-04-01,PBA - Partidos del GBA,32215
2018-04-01,PBA - Resto,1264252
2018-07-01,CABA,216928
2018-07-01,Córdoba,787080
2018-07-01,Cuyo,386646
2018-07-01,Litoral,999356
2018-07-01,Norte,1081864
2018-07-01,Patagonia,603284
2018-07-01,PBA - Partidos del GBA,141941
2018-07-01,PBA - Resto,1276127
2018-10-01,CABA,233936
2018-10-01,Córdoba,821932
2018-10-01,Cuyo,448884
2018-10-01,Litoral,1178909
2018-10-01,Norte,518906
2018-10-01,Patagonia,486501
2018-10-01,PBA - Partidos del GBA,299881
2018-10-01,PBA - Resto,2415877
2019-01-01,CABA,185960
2019-01-01,Córdoba,1350002
2019-01-01,Cuyo,628543
2019-01-01,Litoral,1472764
2019-01-01,Norte,841424
2019-01-01,Patagonia,645507
2019-01-01,PBA - Partidos del GBA,130062
2019-01-01,PBA - Resto,4706469
2019-04-01,CABA,203444
2019-04-01,Córdoba,432077
2019-04-01,Cuyo,364259
2019-04-01,Litoral,814353
2019-04-01,Norte,561040
2019-04-01,Patagonia,340992
2019-04-01,PBA - Partidos del GBA,106232
2019-04-01,PBA - Resto,1453913
2019-07-01,CABA,175428
2019-07-01,Córdoba,851657
2019-07-01,Cuyo,436630
2019-07-01,Litoral,1184725
2019-07-01,Norte,790649
2019-07-01,Patagonia,733276
2019-07-01,PBA - Partidos del GBA,204177
2019-07-01,PBA - Resto,1722722
2019-10-01,CABA,159136
2019-10-01,Córdoba,908753
2019-10-01,Cuyo,692954
2019-10-01,Litoral,1012127
2019-10-01,Norte,700304
2019-10-01,Patagonia,446398
2019-10-01,PBA - Partidos del GBA,165567
2019-10-01,PBA - Resto,2335172
2020-01-01,CABA,192768
2020-01-01,Córdoba,1232281
2020-01-01,Cuyo,660540
2020-01-01,Litoral,1177247
2020-01-01,Norte,784482
2020-01-01,Patagonia,648003
2020-01-01,PBA - Partidos del GBA,140415
2020-01-01,PBA - Resto,3955335
2020-04-01,CABA,16266
2020-04-01,Córdoba,23827
