type,link_web,modelo,precio,marca,anio,version,color,combustible,puertas,transmision,motor,vehiculo
usado,https://auto.mercadolibre.com.ar/MLA-1465485114-kia-carnival-22-crdi-premium-avn-usado-lucas-semini-_JM#position=38&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Kia Carnival 2.2 Crdi Premium Avn,19.800.000,Kia,2018,2.2 Crdi Premium Avn,Plateado,Diésel,5,Automática,2.2,Monovolumen
usado,https://auto.mercadolibre.com.ar/MLA-1381285883-alfa-romeo-giulietta-distintive-14-at-al-us-_JM#position=39&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Alfa Romeo Giulietta 1.4 Distinctive 170cv At,16.000.000,Alfa,2018,1.4 Distinctive 170cv At,Blanco,Nafta,5,Automática,1.4,Hatchback
usado,https://auto.mercadolibre.com.ar/MLA-1380830903-chery-tiggo-2-luxury-15-2019-concesionario-oficial-lp-_JM#position=40&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Chery Tiggo 2 1.5 Luxury,8.150.000,Chery,2019,1.5 Luxury,Azul,Nafta,5,Manual,1.5,SUV
usado,https://auto.mercadolibre.com.ar/MLA-1380483639-peugeot-208-xy-3ptas-concesionario-oficial-lp-_JM#position=41&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Peugeot 208 1.6 Xy,8.550.000,Peugeot,2014,1.6 Xy,Violeta,Nafta,5,Manual,1.6,Hatchback
usado,https://auto.mercadolibre.com.ar/MLA-1462097272-chevrolet-equinox-15-premier-awd-at-2019-concesionario-lp-_JM#position=42&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Chevrolet Equinox 1.5t Premier 4wd,18.500.000,Chevrolet,2019,1.5t Premier 4wd,Blanco,Nafta,5,Automática,1.5,SUV
usado,https://auto.mercadolibre.com.ar/MLA-1380291689-jeep-renegade-longitud-at-usa-al-_JM#position=43&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Jeep Renegade 1.8 Longitude At6,12.500.000,Jeep,2018,1.8 Longitude At6,Azul,Nafta,5,Automática,1.8,SUV
usado,https://auto.mercadolibre.com.ar/MLA-1380312823-jeep-renegade-18-longitude-at6-usado-lucas-semini-_JM#position=44&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Jeep Renegade 1.8 Longitude At6,12.000.000,Jeep,2018,1.8 Longitude At6,Azul,Nafta,5,Automática,1.8,SUV
usado,https://auto.mercadolibre.com.ar/MLA-1379608243-toyota-hilux-sw4-usadas-camioneta-4x4-automatica-7-asientos-_JM#position=45&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Toyota Sw4 3.0 Srv Cuero I 171cv 4x4 5at,26.500,Toyota,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
usado,https://auto.mercadolibre.com.ar/MLA-1455051428-volkswagen-fox-msi-connect-2019-_JM#position=46&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Volkswagen Fox 1.6 Connect,6.200.000,Volkswagen,2019,1.6 Connect,Plateado,Nafta,5,Manual,1.6,Hatchback
usado,https://auto.mercadolibre.com.ar/MLA-1455064256-volkswagen-t-cross-trendline-2020-16-_JM#position=47&search_layout=grid&type=item&tracking_id=cfc703d5-251f-4d20-9993-c6e8e24cf252,Volkswagen T-cross 1.6 Trendlinde Mt,10.500.000,Volkswagen,2020,1.6 Trendlinde Mt,Gris,Nafta,5,Manual,1.6,SUV
